"","Title","Notes","positive","negative","score","topic"
"652","Network Analysis and Visualization with R and igraph.pdf"," “Network Analysis and Visualization with R and Igraph.Pdf,” n.d.  This document is an explicit guidebook for network analysis in R. It talks about wide topics from R basics, networks in R graph, read network data, turning networks into igraph objects, plotting networks with igraph, network and node descriptive, distance and path, subgroups and communities, and Assortative and homophily. The methods are always evolving, but it is also important to find the most proper one for different research questions and principles.   In the field of education, new technology enables interactive and adaptive scenario-based tasks (SBTs) to be adopted in educational measurement. At the same time, it is a challenging problem to build appropriate psychometric models to analyze data collected from these tasks, due to the complexity of the data. Researchers have begun to explore the potential of using concepts and methods from social network analysis to represent and analyze process data. Visualization of the transition networks can represent process data and provide insights for item design. Topics on how network measures are related to existing scoring rubrics and how detailed network measures can be used to make intergroup comparisons are also explored.    Also, the educational knowledge domain may be understood as a system composed of multiple, co-evolving networks that reflect the form and content of a cultural field. The educational knowledge domain as having a community structure (form) based in relations of production (authoring) and consumption (referencing), and a cognitive structure (content) based in relations of ideas and concepts.  ",1,3,-2,4
"653","Predictive Modelling in Teaching and Learning","Process, practice and challenges in using predictive modelling in teaching and learning In both LA and EDM, predictive modeling has become a core practice. Predictive modeling =/= exploratory modeling - explanation vs prediction - key difference is in geenralizability Use cases for predictive analytics in practice - Performance measures, especially identifying students at risk in their academic programming. - e.g. determine whether students will graduate from sec school on time, formative achievement based on previous interactions with intelligent tutoring system, MOOC disengagement mid-course as an outcome. - Detect learners who are engaging in off-task behavior Challenges and opportunities - supporting non-CS in predictive modeling activites - creating community-led data science challenge initiatives - second order predictive modeling. Second order = include historical knowledge as to the effects of and intervention (e.g. email prompt or budge) in the model itself. Modeling of intervention effectiveness is important when multiple interventions are avaiable and personalized learning paths are desired.  ",2,1,1,3
"654","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","Explantory models of educational data (beyond data prediction) Causal relationships between constructs that can either be observed or inferred from data Majority of EDM has been on predictive accuracy. Field could benefit from developing explanatory models. Efforts that have produced explanatory models Cognitive models - map knowledge components to problem steps/tasks where student performance can be observed. - provides a way for statistical models to make inferences about students' underlying knowledge based on their observable performance on different problem steps - Data-driven cognitive model improvement: Difficulty factors assessment (DFA) - uses data-driven knowledge decompotision to identify problematic elements of a task. Use DFA to identify and validate cognitive model improvements. Involves inspecting learning curves for KC model/Q-matrix, identify problematic KCs and hypothesize changes, re-fit the AFM with the revised KC model and assess whether the new model fits the data better. -Learning factors analysis (LFA) - atuoamte data-driven methods of KC model refinfement to alleviate demands on human time. Searches along knowledge components, evaluates models, outputs best-fitting KC model. - Automated cognitive model discovery (SimStudent)    ",4,2,2,5
"655","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","Statistical graphics vs infographics Goals for graphical displays from statistical point of view (and contradictions with infographics) Different goals lead researchers to value different aspects of data visualization. Within statistics, statistical graphics have been losing importance, whereas outside, data graphics are becoming hugely popular. Statisticians: effective and precise ways to representing data, statistics or model analyses. infovis: grabbing readers' attention and telling them a story.      ",2,2,0,2
"656","Junkcharts Trifecta Checkup: The Definitive Guide","Framework for critiquing data visualisations - what is the question - what does the data say - what does the visual say Results from the questions above should be the same. The framework has 8 types of critiques, that are permutations of which component is weak/wrong.",0,0,0,2
"657","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Hierarchical cluster analysis and pattern visualization on data point on students  Correctly identified &gt; 80% of students who dropped out using entire student grade history patterns from either K-12 or K-8. Research question: to what extent do student grades cluster through HCA into patterns that identify which students are most at risk of dropping out of school. Clustering - supervised (defined set of assumptions about categorization) vs unsupervised (assumes nothing about the categorization) HCA - organizing data based on how similar the values for the list of variables are for each case. In this case, each student's grades in all subjects from grade K through 12. Clustering algorithm applied in iteractive fashion at each level of clustering, until it defines the entire dataset at the highest hierarchical level. Visualization: clustergram - cluster analysis, cluster tree and heatmap.  ",1,1,0,3
"658","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","Social network analysis to understand classrooms (primer to encourage more research, rather than a research paper itself)   Understanding how learning relationships fown in undergraduate classrooms and the impact on learning outcomes. Test for association between network position and success on exams. SNA - 2 hypotheses: 1) what influences formation of relational ties in a given population, 2) influence that the structure has on shaping outcomes at the individual level or socioeconomic/ population level. Network formation within classrooms to understand how the realized networks affect learning outcomes -&gt; understand social impacts of different pedagogical strategies. - E.g. Active learning is effective but why? Maybe active learning &gt; facilitation of student networks to be stronger or less centralized or structure in a new way &gt; maximize learning. Contents of article: 1. Basic concepts and terms in SNA 2. Way to organize data for analysis 3. Analysis of classroom network - descriptive, exploration of network evolution, analysis of network position as predictor of outcomes.   Case study: subset of a 10-week intro biology course, 187 students Findings: Exploratory - hypothesis: Students who are in the same lab likely to study together. Students with fewer study partners are less likely to perform well in the class. Use sociographs to visualize network - gives visual evidence but not statistical significance. Network changes overtime - measures e.g .density, triad censuses and transitivity to compare first and second exams. Overall, increase in study partnerships at the class level. As predictors of performance - test association between degree centrality and betweenness centrality and exam scores. Because of dependent nature of cetnrality measures, testing for association between network position and exam performance is not straightforward. - Permutation correlation test - distribution of corrs from data by random sampling values from one variable and matching them to another. - results: no signiciant correlation for either centrality measure for the first exam but signifciant correlation between both on the second exam. =&gt; given chance to revise network positions after some experience in the course, there is a social influence on exam performance. Note: study could not control for student effort, so unable to discern if study effort confounds findings and therefore causality is vague.",6,2,4,4
"659","Why Students Should Own Their Educational Data","Designing for the averages student if designing for nobody - L. Todd Rose, educational neurosicnece at Harvard GSE. Center for Individual Opportunities - research into ""science of the individual"". Learning style theory: Analogy to cancer, where doctors try to treat an ""average cancer"" and when it does not work says the patient has an ""aggressive form"". Today it is personalized. For learning, there are also personal patterns across dimensions, And this is beyond learning styles. Personality and learning varies across contexts. MOOCs: It has pushed colleges to thnik about what the value proposition is about face to face vs online. His vision: third party responsible for protecting learner datam and student to have a decade of data about the way that they're learning.      ",4,2,2,2
"660","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Testing",0,0,0,5
"661","Evaluating Machine Learning Models","Evaluation metrics for supervised learning models Classification metrics - accuracy = # correct predictions/ # total data points - confusion matrix: useful when you want to look at how many examples failed for class 0 vs class 1. - log-loss: can be used if classifier is a numeric probability instead of class label 0 or 1 - AUC = area under curve for ROC curve. Perfect classifier model gives AUC of 1. Ranking metrics - precision-recall = two concepts where precision = # happy corret answers/ # total items returned by ranker, and recall = # happy corret answers/ # total relevant items -precision recall curve and F1 score - NDCG Regression metrics - RMSE - Quantiles of errors",2,3,-1,5
"662","Data wranglers: human interpreters to help close the feedback loop","Role of human data wranglers at the Open University, UK (a LA program) Learning Analytics Cycle (Clow): Closing the feedback loop means actionable intelligence from data is produced, and interventions are made. Institution-wide capability-building learning analytics programs: Data wranglers deployed to engage in sensemaking activity with learning analytics data. Main data sources: survey feedback, activity from VLE/LMS, delivery data, completion and pass rates. Strong potential synergy with Learning Design, where it provides context for interpreting learning analytics, and learning analytics provide insight to underpin process of Learning Design. Examples of analyses: - activity on VLE/LMS - support development of proactive student support system, capture similar charts for new cohort of students - importance of assessments - students only do activity when specified in an assessment (as compared to just in the course) - students' reported enjoyment of different learning activities - when teaching online, use less text and more activities.            ",4,0,4,1
"663","Zuckerberg is ploughing billions into 'personalised learning' – why?","Zuckerberg argues for personalized learning Chan Zuckerberg Intiative's Personalized Learning Platform - algorithms provide users with content based on analysis of past behavior and demonsterated itnerset. Dangers of personalized learning: 1. Only feeding what learner is interested in compromizes goal of general knowledge. 2. When it is so personalized, lack of ability to compensate may mean they suffer in the real world. 3. Preferences are not fixed. Where personalized learning could help - sense of ownership and relevance - personalized assessments - E.g. AltSchool, community of microschools whose personalized learning experience involves collecting data about pupils' attainemnt, grades and memory test results and energy levels.",2,3,-1,2
"664","Chapter 1: Social Network Data","Social network methods Social network data Data structure: square array of measurements, where both rows and columns are cases/ observations. The cell describes the relationship between the actors.  Allows us to see which actors are similar to which, therefore helps us to see which actors have similar position in the network. (1) Where they are located or ""embedded"" in the overall network. Looking at data structure more holistically - e.g. ""density"" i.e. more 1s than 0s, cells above and below diagonal to see if there is reciprocity in choices. (2) how the whole pattern of individual choices gives rise to more holistic patterns. Conventional data focuses on actors and attributes. Network data focuses on actors and relations. Next sections - issues that arise in designm sampling and measurement Nodes Network studies are more likely to include all of actors who occur within some (usually nturally occuring) bounary. Often network studies don't use ""samples"", but include all actors in the population. In this sense, the population may have been selected by probability methods. Hence, it is important for analyst to be clear about boundaries of each population to be studied and how each unit is selected.  Types of boundaries - 1) imposed or created by actors themselves (i.e. who they are linked with, such as a club, neighborhood, classroom) = draw boundaries around a population that is known a priori to be a network, 2) demographic/ ecological appraoch e.g. people in a bounded spatial area or meet some income criterion, imposed by investigator.  Expansion of boundaries is done by replicating populations. Multi-modal - individual is embedded in networks that are embedded in networks that are embedded in networks. Edges All ties studied or different appraoches used that sample ties. When we collect network data, we are usually selecting from among a set of kinds of relations that we might have measured. - Full network methods - Snowball methods - Ego-centric networks (with alter connections) - Ego-centric networks (ego only) Multiple relations - in the most common type, only one kind of relation is described. Decisions on which relations to examine - conceptual appraoches may help e.g. systems theory. Note scales of measurement - nominal (binary and multi-categorical), ordinal, interval levels. Different approaches in SNA. Note: SNA is more a branch of mathematical sociology than of statistical analysis. Applications of statistic to social network data is ""cutting edge"" research - not covered in this article.",2,0,2,4
"665","Teaching Recommender Systems at Large Scale: Evaluation and Lessons Learned from a Hybrid MOOC","Case study: Introduction to Recommender Systems course on Coursera Coursera vs. on-campus for credit course using Coursera platform and flipped classroom instruction model. For ""knowledge gain"", main predictor was effort expended. For ""completion"", few factors had strong predictive power, main predictor was intent to complete. face-to-face tudents performed as well as the online-only students or better. Experiment design: - self-selection to enroll in MOOC and face-to-face means random assignment not possible. However, the rest held constant, and demographic data were used to ensure groups compared were similar in the relevant aspects. Measures: - Pre and post class surveys designed to measure students' backgroun, intentions with respect to the MOOC they are taking, and reactions to the MOOC expereince. - Knowledge test administered thrice, including one 5 months after the end of the course - to measure retention of subject matter knowledge. Results: - An exploratory PCA was conducted, and four factors were extracted. Eigenvalues &gt; 1 for all 15 individual items. 4 factors were underlying constructs: instructor, pragmatic, professional, interest. These constructs used to segment student population. - Completion - Logistic regression performed. Results = intention predicts completion; little else does. - Knowledge - Results = student knowledge increased. - face-to-face vs online-only: Using pre-test as a baseline, both groups were statistically equivalent in baseline knowledge. Compared the two groups in terms of normalized gains in knowledge achieved over semester. Nominal difference and low N compromises on statistical significance and external validity. - OLS that attempts to predict normalized knowledge gains, to understand factors that contribute to learning: baseline (-ve), concepts track, number of assignemtn completed (strongest), english proficiency (marginal). Unique part about this research: 1) offered in both MOOC online-only and face-to-face classroom allowed comparison, 2) mixed programming and non-programming students in a two-track course model, 3) extensive evaluation of student learning outcomes.        ",9,2,7,4
"666","Machine Beats Experts: Automatic Discovery of Skill Models for Data-Driven Online Course Refinement","Developed an online innovative method to discover skill models from the data of online courses. Online courses have a pre-defined skill map (Q-matrix) - skills are associated with formative assesment items embedded throughout the online course. Developed an efficient, practical, and scalable method called eEPIPHANY to automatically discover skill sets from online course data, through correlations between student performance and assessment item text data. - input: matrix representing a chronological record of students’ responses to assessment items, called an A-matrix. - output: skill mode (Q-matrix) that produces the best prediction of the A-matrix. Find Q-matrix by itself or refine a given Q-matrix by 1) clustering assessment items with latent features that characterize similarity in the difficulty of assessment items, 2) proposing new skill model by assuming that cluster provides a hint for new skills, 3) search for best skill model. Feature extraction - Matrix factorization strategy - Bag-of-words strategy Findings: - Using student respondse data always yields a better skill model than using BoW strategy (and BoW &gt; those hand-crafted by human experts). - Matrix factorization strategy efficiently discovers a latent skill model from teh student learning ata. - ePIPHANY can find a better skill model automatically without human interaction.",15,0,15,5
"667","Developing a generalizable detector of when students game the system","Model students' changing knowledge state during skill acuqisition. Write short programs with the ACT programming tutor. As the student works, the ""tutor"" maintains an estiamte of the probability taht the student has learned each of the rules in the ideal model - knowledge tracing. Model is quite successful in predicting test performance.",4,0,4,3
"668","Principal Component Analysis explained visually","PCA used to eliminate dimensions.   Transforms variables to new variables called prcinciapl components (PC), and then drop those that contribute least to the variation in dependent variables.",0,0,0,5
"669","Measurement and its Uses in Learning Analytics"," the use of a learning analytics tool is always aligned with assessment regimes  which are in turn grounded in epistemological assumptions and pedagogical practices   deploying a given learning analytics tool expresses a commitment to a particular educational worldview  designed to nurture particular kinds of learners   Anderson (2008): new era; death of theory, models, and scientific method. No longer do we need to create theories about how the world works, because the data will tell us directly as we discern, in almost real time, the impacts of probes and changes we make Wise and Shaffer (2015): theory more important, not less, when so much data makes everything statistically significant. Epistemology-Assessment-Pedagogy triad Learning Analytics has potential to:  marginalize learners &amp; educators thru transofrmation of ed into technocratic system limit what we talk about as ""learning"" to what we can create analytics for exclude alternative ways of engaging in activites hard to track computationally to the detriment of learners   Six questions to ask  What are we measuring? How are we measuring? Why is this knowledge important to us? Who is the assessment for? Where does assessment happen? When does assessment/feedback occur?   ",4,4,0,2
"670","Ethics and Learning Analytics: Charting the (Un)Charted"," Ethics of Learning Analytics important to consider as field matures the future of learning will be digital, distributed, and data-driven such that education ""enables quality of life and meaningful employment through  exceptional quality research sophisticated data collection advanced machine learning and human learning analysis/support   Ethical implications around the collection, analysis, and use of student data should take cognizance of the potentially conflicting interests and claims of a range of stakeholders Eight principles:  LA is an ethical practice &amp; should align with core principles like open entry to undergraduate level study responsiblity to all stakeholders students should not be wholly defined by visible data (stereotyping) boundaries of LA need to be well defined transparent about data collection interventions free from bias broad acceptance of values and benefits   ",4,2,2,2
"671","Predictive Modelling in Teaching and Learning"," In both EDM and LA, predictive modelling has become a core practice of researchers  largely with the focus on predicting student success as operationalized by academic achievement   Predictive analytics are a group of techniques used to make inferences about uncertain future events In education, might be interested in predicting:  measurement of learning teaching impact of a given style retention   predictive vs explanatory modelling Explanatory:  goal is to use all avail evidence to provide explanation for outcome (t-tests, avgs) eg observations of age, gender, and socioeconomic status of learner population might be used in regression model to explain how they contribute to a given student achievement result intent is to be causal (vs correlative)   Predictive:  goal is to create a model that will predict the values (or class if not numeric) of new data based on observations based on assumption that a set of known data (training data) can be used to predict the value or class of new data based on observed variables   classification: predict categorical values regression: predict numeric values applying an algorithm that assumes independence can result in predictions with an over-emphasis on repeated or correlated features (eg attendance and # questions asked in class are not independent) Linear regression - predicts a continuous numeric output from a linear combination of attributes Logistic regression - predicts the odds of two or more outcomes, allowing for categorical predictions Nearest Neighbors classifiers - use only the closest labelled data points in the training dataset to determine appropriate predicted labels for new data Decision Trees - repeated partitions of the data based on a series of single attribute ""tests."" Each test chosen algorithmically to maximize purity of classifications Naive Bayes Classifiers - assume the statistical independece of each attribute given the classification, and provide probabilistic interpretations of classifications Bayesian Networks - manually constructed graphical models Support Vector Machines - use a high dimensional data projection in order to find a hyperplane of greatest separation btwn various classes Neural Networks - propagate data input through a series of interconnected layers Ensemble Methods: voting pool ",3,6,-3,3
"672","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data"," Majority of EDM research has focused on achieving predictive accuracy  argue for more focus on explanatory models   less commonly, models may be validated by their ability to predict post-test outcomes explanatory models can be connected to theory  focus on why the model fit the data rather than only that it does fit   EDM research focused on two types of models  statistical drive the outer loop of intelligent tutoring systems cognitive are representations of the knowledge space; Q-matrix   Learning Factor Analysis (LFA) - automates the data-driven method of KC model refinement to alleviate demands on human time  SimStudent discovers cognitive models w/o requiring existing ones SimStudent generated model better fit actual student performance data than human generated model SimStudent found that Ax = B was easier to understand than -x=A and split these problems into two subsets whereas humans taught them together   ",2,2,0,5
"673","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)"," In statistics, graphics are typically thought of as a way to help with simple tasks such as data cleaning and exploration, before getting to the serious task of inference outside of statistics, data graphics have become hugely popular, with innovative visualizations appearing regularly on the web and in the New York Times On the statistical side, data analysts and statisticians are interested in finding effective and precise ways of representing data, whether raw data, statistics or model analyses  graphics should enable readers to make up their own minds on any conclusions drawn, and possibly see more   the Infovis approach uses the data to draw attention to wider issues With presentation graphics you prepare some small number of graphs, which may be viewed by thousands with exploratory graphics you prepare thousands of graphs, which are viewed by one person, yourself ",2,0,2,2
"674","Junkcharts Trifecta Checkup: The Definitive Guide"," The Trifecta Checkup involves only three investigations:   What is the QUESTION? What does the DATA say? What does the VISUAL say?   Ideally, the results of all three investigations are one and the same. ",1,0,1,2
"675","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis"," Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8 This study examined longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188)  demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators   An emerging line of research has begun to ask why teacher-assigned grades are predictive of overall student outcomes, but are a weak indicator of academic knowledge when compared to standardized test scores  Termed “hodge-podge” or “kitchen sink” grading, surveys of teachers have repeatedly found that teachers award students grades for a variety of factors, including academic knowledge, attendance, participation, and behavior    much of the past research has focused on using logistic regression to predict the likelihood of dropping out of school given if a student has failed a core course  this issue returns to the problem of reducing the rich set of data represented by individual student achievement trends to aggregated means and fitted regression slope equations that are generalizable to the population, but less useful for making data driven decisions for individual students and schools.   Known as hierarchical cluster analysis (HCA), this multivariate statistical method uses a series of nested correlation calculations, or distance measures, to reorder a dataset  a means to analyze all of the data without aggregating the data, displaying each individual’s information patterned and displayed in a way that allows for interpretation of large longitudinal datasets   The combination of the cluster analysis, cluster tree, and heatmap, creates the clustergram This study has come to a rather obvious finding; students with generally low grades throughout their career in school drop out. ",3,5,-2,3
"676","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research"," Social interactions between students are a major and underexplored part of undergraduate education. Social network analysis (SNA) provides the necessary tool kit for investigatingquestions involving relational data Network analysis entails two broad classes of hypotheses:   those that seek to understand what influences the formation of relational ties have in a given population (e.g., having the same major, having relational partners in common those that consider the influencet hat the structure of ties has on shaping outcomes, at either the individual level (e.g., grade point average [GPA] or socio economic status) or the population level (e.g., graduation rates or retention in science, technology, engineering, and mathematics [STEM] disciplines)   Recent research in physics education has found that a student’s position within communication and interaction networks is correlated with his or her performance example from a subset of a 10-wk introductory biology course with 187 students who saw the course to completion. Networks that consist of only one type of actor (e.g., students) are referred to as unipartite a bipartite network could link scholars to papers they authored or students to classes they took, differing from a unipartite network, which would link author to author or student to student There does not seem to be any strong visual evidence for an association between classroom performance and number of study partners. Network changes over time ",1,0,1,4
"677","Why Students Should Own Their Educational Data"," Designing a textbook or lecture with the average student in mind means it is designed for nobody for a student with affinity for science but low reading score, science class is first and foremost a reading test due to reliance on textbooks; doubtful that student will ever show true capabilities technology can help, by giving educators detailed data on students and the ability to customize teaching materials so “they truly can nurture the potential of every single individual. For 150 years, we’ve thought we could understand individuals by studying groups of people and patterns in the population  we look for statistical patterns in the people. but it turns out that much to our chagrin, we know now that you can’t actually tell anything in population studies about any individual in that group You had to draw inferences about a population from a sample because you couldn’t get the population data.   It’s not that everyone’s a snowflake — I mean, that’s probably true at some level, but it’s not particularly helpful  We’re looking for personal patterns across what we call dimensions.   So let’s say there are five things that really matter for how well you’ll do in algebra, like working memory is a predictor. But it’s how you vary across those, the jagged profile, that is really important to know Your personality or your traits, they’re not actually stable  We could say, “You’re a Type A person,” or “You’re aggressive,” or whatever. But it turns out it’s just not true It turns out what’s really stable is, say, your personality in the lunchroom at work. Your aggression level, how easygoing you are in the lunchroom doesn’t tell us a lot about how you’ll be in a classroom, believe it or not Say you tend to be highly aggressive in classrooms where it’s new information and you have a male teacher. It’s that level of information. If we know that. That kind of data has been shown to be predictive of your behavior up to 10 years out   What we need to know about you is your contextualized profile of your performance and what kind of support you’ll need to be able to model your learner profile across contexts. If I had to push for one thing that I think is super important, that is that the user should own their data My vision that we’re going to push for in my organization is you’ve got to have a third party who is responsible for protecting learner data ",9,2,7,2
"678","Knowledge tracing: Modeling the acquisition of procedural knowledge"," all students can achieve expertise in a domain if two conditions are met:  (1) the domain knowledge is appropriately analyzed into a hierarchy of component skills (2) learning experiences are structured to ensure that students master prerequisite skills before tackling higher level skills in the hierarchy.   Each tutor is constructed around a cognitive model of the underlying skill that allows the tutor to solve the exercises along with the student and provide feedback on student actions. These tutors have proven to be effective learning environments; students can work through a fixed set of exercises in substantially less time than students working on their own and score as well or better on posttests ACT-R theory assumes declarative knowledge different than procedural  Example of declarative: The Lisp function car takes one list as an argument and retums the first ele- ment. ACT-R assumes that skill knowledge is encoded initially in declarative form through experiences such as reading   ",11,0,11,3
"679","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration"," Educational Data Mining (EDM) vs. Learning Analytics and Knowledge (LAK).  EDM = 2005 origin lLAK = 2010 origin   EDM: “Educational Data Mining is an emerging discipline, concerned with developing methods for exploring the unique types of data that come from educational settings, and using those methods to better understand students, and the settings which they learn in.” LAK: "" “... the measurement, collection, analysis and reporting of data about learners and their contexts, for purposes of understanding and optimizing learning and the environments in which it occurs.” LAK and EDM share the goals of improving education by improving assessment, how problems in education are understood, and how interventions are planned and selected EDM has a considerably greater focus on automated discovery  EDM research which leverages human judgment in many cases does so to provide labels for classification, EDM models are more often used as the basis of automated adaptation, conducted by a computer system such as an intelligent tutoring system. reduces phenomena to components and analyzing individual components and relationships between them.   LAK has a considerably greater focus on leveraging human judgment.  LAK research which uses automated discovery often does so in the service of informing humans who make final decisions LAK models are more often designed to inform and empower instructors and learners place a stronger emphasis on attempting to understand systems as wholes, in their full complexity     ",2,3,-1,2
"680","Evaluating Machine Learning Models"," Different machine learning tasks have different performance metrics. Examples of performance metrics for various tasks include: If I build a classifier to detect spam emails versus normal emails, then I can use classification performance metrics such as  average accuracy log-loss area under the curve (AUC).   If I’m trying to predict a numeric score, such as Apple’s daily stock price, then I might consider the root-mean-square error (RMSE). If I am ranking items by relevance to a query submitted to a search engine, then there are ranking losses such as precision-recall (also popular as a classification metric) or normalized discounted cumulative gain (NDCG).  ",2,2,0,5
"681","Saturday Morning Breakfast Cereal"," 90% of elite engineers played with clocks as children New education programs must now have clock assembly programs and tests Cancelled art class for clock repair Other countries assemble clocks better Scientists determine that:  great engineers liked clocks as kids not: children who like clocks become great engineers   But now training is in motion and unstoppable   ",5,0,5,2
"682","Data wranglers: human interpreters to help close the feedback loop"," Closing feedback loop = best practice for LA human data wranglers make sense of data at Open University related to learning  data analyzed in light of their understanding of individual departments reports summarize action &amp; key points   supports the value of human meaning-makers in the LA process suggests barriers to organizational change can be mitigated by embedding LA work within strategic contexts and working at appropriate levels of analysis feedback loop of LA  actionable intelligence produced from data about learners and their context interventions made to improve learning   Sophisticated educational data mining tools are often hard for non-specialiststo use and interpret need for multidisciplinary teams, with a key role played by humans in interpreting the data sense-making and social processes are importantbecauseof the complexity of the dataand because “learning is a complex social activity”. so far as possible the Data Wranglers are selected to have an academic background close to the Faculty they are working with work with four main data sources:  survey feedback at end of course Moodle data data about mode of delivery pass rate &amp; demographic data   data from these sources aggregated using SAS data warehouse  exported to Tableu workbook for each faculty   ",6,3,3,1
"683","Zuckerberg is ploughing billions into 'personalised learning' – why?"," Many in education would argue that personalised learning is what all good teachers do as a matter of course – modifying learning materials and teaching styles to accommodate the different ways pupils learn Others see it as an antidote to top-down, centralised school bureaucracy, with the term “personalised” used interchangeably with individual, learner-centered or customised.From Facebook outside link: Technology in personalized learning enables teachers and students to create personal learning plans, track progress and find materials to help them learn best. When technology is tailored to students' needs, it frees up time for teachers to do what they do best -- mentor students. Summit Public Schools has been a pioneer in personalized learning. Zuckerberg’s idea of personalised learning has three major flaws.  First, education has always been about acquiring knowledge and skills relevant to a profession, but also about acquiring general knowledge. By feeding children only the content they’re interested in, we may end up with many specialists and few generalists. Second, while learners may cope poorly with trying to learn in a way that’s not suited to them, in the real world life will not always be so accommodating. Their lack of ability to compensate may mean they suffer as a result. Finally, children’s preferences are not fixed; To predict content relevant for children there needs to be sensitive, human-directed input – not automation. Otherwise we end up with what might be called de-personalised learning, and classrooms with little conversation between student and teacher   AltSchool is a community of micro-schools whose personalised learning experience involves collecting data about pupils’ attainment, grades and also memory test results and energy levels. This data is crunched together with the pupil’s interests and preferences to tailor the content. Other organisations combine user data with standard educational content, for example adaptive course-ware platforms such as those from Smart Sparrow or Pearson. Personalised learning by McGraw Hill allows educators to choose between the adaptive or customized study plans.  The former adapts all topics to a learners’ pace, while the latter provides a course modified according to the teacher’s knowledge of what fits the students best.   personalised learning combined with emotional analytics, personal inquiry, dynamic and stealth assessment could be a very powerful combination. ",12,4,8,2
"684","Feature Selection"," If I track 1000 features, maybe only 10 of them matter Feature selection good for  interpretability insight   Curse of dimensionality = amount of data you need grows exponentially with number of features you have ",1,0,1,1
"685","Chapter 1: Social Network Data"," The fundamental data structure is one that leads us to compare how actors are similar or dissimilar to each other across attributes (by comparing rows) Or, perhaps more commonly, we examine how variables are similar or dissimilar to each other in their distributions across actors (by comparing or correlating columns) ""Network"" data:   The rows of the array are the cases, or subjects, or observations. The columns of the array are -- and note the key difference from conventional data -- the same set of cases, subjects, or observations     The major difference between conventional and network data is that conventional data focuses on actors and attributes; network data focus on actors and relations Network data are defined by actors and by relations (or ""nodes"" and ""edges""). Most commonly, network analysts will identify some population and conduct a census (i.e. include all elements of the population as units of observation)   A network analyst might examine all of the nouns and objects occurring in a text, all of the persons at a birthday party   To the extent the observations used in a network analysis are drawn by probability sampling methods from some identifyable population of actors and/or ties, the same kind of question about the generalizability of sample results applies   no interest in generalizing to a larger population of such networks (either because there isn't any such population, or we don't care about generalizing to it in any probabilistic way   The other major use of inferential statistics in the social sciences is for testing hypotheses ",1,1,0,4
"686","RStudio Cheat Sheets"," .Rmd file = R Markdown knit to create report publish using shiny app     ",0,0,0,1
"687","Translating Learning into Numbers: A Generic Framework for Learning Analytics"," Plethora of data from:  web2.0 = Twitter, Flickr, YouTube, etc Sensor data = GPS location etc   ""data economy"" empowers companies to offer products at little or no cost to users (bit.ly URL, Yahoo Pipes, Gapminder.com) data mining not a separate act to normal user behavior more comparable to observational data gathering than intrusive collection via direct methods Issues related to data ownership and openness, ethical use and dangers of abuse, demand for new key competences proposed framework for LA has 6 dimensions  stakeholders objectives data instruments external constraints internal limitations   Not yet clear to what extent LA will lead to more personalized learning experiences rather than merely clustering people into behavioristic ""learner models"" Need more evidence for best padagocig LA theory  has been effectively used for behaviorist-instructivist style approaches need more evidence for constructivist approaches where learning is seen as an active cognitive process in which learner construct their own concepts of the world around them In LA, the latter is inferred by relating grades with activities during learning process Active students get better results   ",5,4,1,1
"688","Teaching Recommender Systems at Large Scale: Evaluation and Lessons Learned from a Hybrid MOOC"," offered an open online Introduction to Recommender Systems through Coursera,while simultaneously offering a for-credit version of the course on-campus using the Coursera platform Student completion of the course was hard to predict, with few factors contributing predictive power  the main predictor of completion was intent to complete   Students had significant knowledge gains across all levels of prior knowledge and across all demographiccategories. The main predictor of knowledge gain was effort expended in the course. Studentswho chose a concepts-only track with hand exercises achieved the same level of knowledge of recommender systems concepts as those who chose a programming track and its added assignments  though the program-ming students gained additional programming knowledge.   face-to-face students performed as well as the online-only students or better While much early MOOC evaluation focused on very low rates of full course completion, as we improve our understanding of the reasons for which students take MOOCs, it becomes imperative to attend to the notion that “success” might be relative to the individual   ",7,1,6,4
